gene	count
ENSGGOG00000000651	101
ENSGGOG00000000652	276
ENSGGOG00000000653	421
ENSGGOG00000000654	2
ENSGGOG00000000655	282
ENSGGOG00000000656	4
ENSGGOG00000000657	1208
ENSGGOG00000000658	214
ENSGGOG00000000659	1448
ENSGGOG00000000660	6
ENSGGOG00000000661	21
ENSGGOG00000000662	113
ENSGGOG00000000663	385
ENSGGOG00000000664	184
ENSGGOG00000000665	3009
ENSGGOG00000000666	2
ENSGGOG00000000667	66
ENSGGOG00000000668	1380
ENSGGOG00000000670	51
ENSGGOG00000000671	334
ENSGGOG00000000672	10
ENSGGOG00000000673	865
ENSGGOG00000000674	1165
ENSGGOG00000000675	47
ENSGGOG00000000676	253
ENSGGOG00000000677	1688
ENSGGOG00000000678	9
ENSGGOG00000000679	200
ENSGGOG00000000680	217
ENSGGOG00000000681	114
ENSGGOG00000000682	267
ENSGGOG00000000683	645
ENSGGOG00000000684	0
ENSGGOG00000000685	570
ENSGGOG00000000688	75
ENSGGOG00000000689	46
ENSGGOG00000000690	73
ENSGGOG00000000691	68
ENSGGOG00000000693	548
ENSGGOG00000000694	310
ENSGGOG00000000695	309
ENSGGOG00000000697	758
ENSGGOG00000000698	242
ENSGGOG00000000700	10
ENSGGOG00000000701	169
ENSGGOG00000000702	40
ENSGGOG00000000703	2509
ENSGGOG00000000704	418
ENSGGOG00000000705	1370
ENSGGOG00000000706	207
ENSGGOG00000000707	636
ENSGGOG00000000708	4615
ENSGGOG00000000709	86
ENSGGOG00000000711	3
ENSGGOG00000000712	793
ENSGGOG00000000713	4050
ENSGGOG00000000714	752
ENSGGOG00000000715	344
ENSGGOG00000000716	611
ENSGGOG00000000717	102
ENSGGOG00000000718	374
ENSGGOG00000000719	200
ENSGGOG00000000720	0
ENSGGOG00000000721	7
ENSGGOG00000000722	58
ENSGGOG00000000724	8
ENSGGOG00000000725	58
ENSGGOG00000000726	268
ENSGGOG00000000727	688
ENSGGOG00000000728	23
ENSGGOG00000000729	650
ENSGGOG00000000730	382
ENSGGOG00000000731	28
ENSGGOG00000000732	1481
ENSGGOG00000000733	2057
ENSGGOG00000000734	101
ENSGGOG00000000735	0
ENSGGOG00000000736	624
ENSGGOG00000000737	645
ENSGGOG00000000738	47
ENSGGOG00000000739	81
ENSGGOG00000000740	840
ENSGGOG00000000741	0
ENSGGOG00000000742	5097
ENSGGOG00000000743	6
ENSGGOG00000000744	330
ENSGGOG00000000746	0
ENSGGOG00000000747	1175
ENSGGOG00000000748	519
ENSGGOG00000000750	21
ENSGGOG00000000751	394
ENSGGOG00000000753	420
ENSGGOG00000000754	350
ENSGGOG00000000755	0
ENSGGOG00000000756	0
ENSGGOG00000000757	78
ENSGGOG00000000758	3103
ENSGGOG00000000759	269
ENSGGOG00000000760	18
ENSGGOG00000000761	316
ENSGGOG00000000762	323
ENSGGOG00000000763	0
ENSGGOG00000000764	628
ENSGGOG00000000765	139
ENSGGOG00000000766	101
ENSGGOG00000000767	966
ENSGGOG00000000768	2
ENSGGOG00000000769	22
ENSGGOG00000000770	0
ENSGGOG00000000773	725
ENSGGOG00000000774	551
ENSGGOG00000000775	74
ENSGGOG00000000776	1371
ENSGGOG00000000777	7
ENSGGOG00000000778	25
ENSGGOG00000000779	20
ENSGGOG00000000780	289
ENSGGOG00000000781	379
ENSGGOG00000000782	352
ENSGGOG00000000783	277
ENSGGOG00000000784	347
ENSGGOG00000000785	683
ENSGGOG00000000786	96
ENSGGOG00000000787	0
ENSGGOG00000000788	1060
ENSGGOG00000000791	7215
ENSGGOG00000000793	1515
ENSGGOG00000000794	424
ENSGGOG00000000795	867
ENSGGOG00000000796	1728
ENSGGOG00000000797	1
ENSGGOG00000000799	5
ENSGGOG00000000800	124
ENSGGOG00000000801	24
ENSGGOG00000000802	1346
ENSGGOG00000000803	28
ENSGGOG00000000804	24
ENSGGOG00000000805	376
ENSGGOG00000000806	10
ENSGGOG00000000807	198
ENSGGOG00000000808	1438
ENSGGOG00000000809	194
ENSGGOG00000000811	8
