gene	count
ENSPTRG00000001097	189
ENSPTRG00000001098	161
ENSPTRG00000001099	23
ENSPTRG00000001100	35
ENSPTRG00000001101	23
ENSPTRG00000001102	203
ENSPTRG00000001104	856
ENSPTRG00000001105	102
ENSPTRG00000001106	44
ENSPTRG00000001107	175
ENSPTRG00000001108	63
ENSPTRG00000001109	90
ENSPTRG00000001110	401
ENSPTRG00000001111	70
ENSPTRG00000001112	257
ENSPTRG00000001113	32
ENSPTRG00000001114	7
ENSPTRG00000001116	66
ENSPTRG00000001120	46
ENSPTRG00000001121	214
ENSPTRG00000001123	181
ENSPTRG00000001124	278
ENSPTRG00000001125	5
ENSPTRG00000001127	255
ENSPTRG00000001128	35
ENSPTRG00000001130	564
ENSPTRG00000001131	4
ENSPTRG00000001132	3
ENSPTRG00000001133	886
ENSPTRG00000001136	394
ENSPTRG00000001137	21
ENSPTRG00000001139	0
ENSPTRG00000001140	221
ENSPTRG00000001142	212
ENSPTRG00000001143	0
ENSPTRG00000001144	1
ENSPTRG00000001145	16
ENSPTRG00000001147	8
ENSPTRG00000001148	3
ENSPTRG00000001150	149
ENSPTRG00000001151	0
ENSPTRG00000001152	5003
ENSPTRG00000001153	3
ENSPTRG00000001154	307
ENSPTRG00000001157	2
ENSPTRG00000001158	254
ENSPTRG00000001160	13
ENSPTRG00000001162	31
ENSPTRG00000001163	72
ENSPTRG00000001164	3
ENSPTRG00000001167	10
ENSPTRG00000001168	94
ENSPTRG00000001170	44
ENSPTRG00000001172	7
ENSPTRG00000001173	52
ENSPTRG00000001174	1
ENSPTRG00000001177	93
ENSPTRG00000001178	476
ENSPTRG00000001179	0
ENSPTRG00000001180	1
ENSPTRG00000001188	434
ENSPTRG00000001197	355
ENSPTRG00000001198	80
ENSPTRG00000001199	283
ENSPTRG00000001200	26
ENSPTRG00000001201	268
ENSPTRG00000001202	7
ENSPTRG00000001203	511
ENSPTRG00000001204	36
ENSPTRG00000001206	190
ENSPTRG00000001207	42
ENSPTRG00000001208	72
ENSPTRG00000001210	95
ENSPTRG00000001211	59
ENSPTRG00000001213	102
ENSPTRG00000001218	271
ENSPTRG00000001219	28
ENSPTRG00000001220	178
ENSPTRG00000001222	337
ENSPTRG00000001223	47
ENSPTRG00000001225	0
ENSPTRG00000001228	5
ENSPTRG00000001233	7
ENSPTRG00000001238	15
ENSPTRG00000001241	58
ENSPTRG00000001242	5314
ENSPTRG00000001243	346
ENSPTRG00000001244	53
ENSPTRG00000001245	188
ENSPTRG00000001246	385
ENSPTRG00000001247	747
ENSPTRG00000001249	28
ENSPTRG00000001250	293
ENSPTRG00000001251	14
ENSPTRG00000001252	163
ENSPTRG00000001254	163
ENSPTRG00000001255	898
ENSPTRG00000001256	208
ENSPTRG00000001257	330
ENSPTRG00000001258	22
ENSPTRG00000001260	591
ENSPTRG00000001261	1960
ENSPTRG00000001262	128
ENSPTRG00000001263	1
