gene	count
ENSG00000039560	98
ENSG00000039600	0
ENSG00000039650	71
ENSG00000039987	2
ENSG00000040199	78
ENSG00000040275	46
ENSG00000040341	134
ENSG00000040487	46
ENSG00000040531	39
ENSG00000040608	220
ENSG00000040633	59
ENSG00000040731	69
ENSG00000040933	92
ENSG00000041353	10
ENSG00000041357	183
ENSG00000041515	15
ENSG00000041802	135
ENSG00000041880	78
ENSG00000041982	14
ENSG00000041988	31
ENSG00000042062	28
ENSG00000042088	11
ENSG00000042286	45
ENSG00000042304	4
ENSG00000042317	23
ENSG00000042429	21
ENSG00000042445	106
ENSG00000042493	92
ENSG00000042753	150
ENSG00000042781	0
ENSG00000042813	4
ENSG00000042832	1
ENSG00000042980	5
ENSG00000043039	4
ENSG00000043093	55
ENSG00000043143	80
ENSG00000043355	163
ENSG00000043462	10
ENSG00000043514	17
ENSG00000043591	93
ENSG00000044012	0
ENSG00000044090	47
ENSG00000044115	319
ENSG00000044446	14
ENSG00000044459	130
ENSG00000044524	7
ENSG00000044574	270
ENSG00000046604	1
ENSG00000046647	28
ENSG00000046651	232
ENSG00000046653	5132
ENSG00000046774	0
ENSG00000046889	290
ENSG00000047056	62
ENSG00000047188	70
ENSG00000047230	38
ENSG00000047249	133
ENSG00000047315	53
ENSG00000047346	75
ENSG00000047365	204
ENSG00000047410	371
ENSG00000047457	12
ENSG00000047578	52
ENSG00000047579	85
ENSG00000047597	2
ENSG00000047617	3
ENSG00000047621	33
ENSG00000047634	21
ENSG00000047644	82
ENSG00000047648	7
ENSG00000047662	18
ENSG00000047849	4470
ENSG00000047932	85
ENSG00000047936	2
ENSG00000048028	40
ENSG00000048052	49
ENSG00000048140	108
ENSG00000048162	10
ENSG00000048342	159
ENSG00000048392	85
ENSG00000048405	18
ENSG00000048462	0
ENSG00000048471	109
ENSG00000048540	499
ENSG00000048544	77
ENSG00000048545	5
ENSG00000048649	1409
ENSG00000048707	192
ENSG00000048740	879
ENSG00000048828	256
ENSG00000048991	242
ENSG00000049089	145
ENSG00000049130	14
ENSG00000049167	37
ENSG00000049192	7
ENSG00000049239	184
ENSG00000049245	206
ENSG00000049246	113
ENSG00000049247	0
ENSG00000049249	2
ENSG00000049283	10
ENSG00000049323	64
ENSG00000049449	55
ENSG00000049540	189
ENSG00000049541	31
ENSG00000049618	293
ENSG00000049656	40
ENSG00000049759	295
ENSG00000049768	12
ENSG00000049769	122
ENSG00000049860	22
ENSG00000049883	25
ENSG00000050030	54
ENSG00000050130	33
ENSG00000050165	850
ENSG00000050327	0
ENSG00000050344	0
ENSG00000050393	148
ENSG00000050405	126
ENSG00000050426	129
ENSG00000050438	147
ENSG00000050555	35
ENSG00000050628	1
ENSG00000050730	0
ENSG00000050748	141
ENSG00000050767	38
ENSG00000050820	7
ENSG00000051009	47
ENSG00000051108	171
ENSG00000051128	127
ENSG00000051180	11
ENSG00000051341	16
ENSG00000051382	57
ENSG00000051523	68
ENSG00000051596	1
ENSG00000051620	75
ENSG00000051825	72
ENSG00000052126	268
ENSG00000052344	4
ENSG00000052723	66
ENSG00000052749	52
ENSG00000052795	161
ENSG00000052802	171
ENSG00000052841	108
ENSG00000052850	4
ENSG00000053108	14
ENSG00000053254	223
ENSG00000053328	3
ENSG00000053371	99
ENSG00000053372	233
ENSG00000053438	57
ENSG00000053501	84
ENSG00000053524	458
ENSG00000053702	30
ENSG00000053747	20
ENSG00000053770	85
ENSG00000053900	51
ENSG00000053918	2
ENSG00000054116	92
ENSG00000054118	421
ENSG00000054148	185
ENSG00000054179	64
ENSG00000054219	8
ENSG00000054267	994
ENSG00000054277	0
ENSG00000054282	1
ENSG00000054356	375
ENSG00000054392	0
ENSG00000054523	1316
ENSG00000054598	185
ENSG00000054611	81
ENSG00000054654	202
ENSG00000054690	76
ENSG00000054793	332
ENSG00000054796	0
ENSG00000054803	17
ENSG00000054938	1
ENSG00000054965	611
ENSG00000054967	15
ENSG00000054983	67
ENSG00000055044	109
ENSG00000055070	332
ENSG00000055118	54
ENSG00000055130	84
ENSG00000055147	33
ENSG00000055163	670
ENSG00000055208	208
ENSG00000055211	148
ENSG00000055332	269
ENSG00000055483	239
ENSG00000055609	527
ENSG00000055732	0
ENSG00000055813	14
ENSG00000055917	277
ENSG00000055950	104
ENSG00000055955	7
ENSG00000055957	2
ENSG00000056050	35
ENSG00000056097	440
ENSG00000056277	9
ENSG00000056291	0
ENSG00000056487	58
ENSG00000056558	36
ENSG00000056586	144
ENSG00000056736	80
ENSG00000056972	129
ENSG00000056998	23
ENSG00000057019	47
ENSG00000057149	0
ENSG00000057252	39
ENSG00000057294	16
ENSG00000057468	1
ENSG00000057593	5
ENSG00000057608	206
ENSG00000057657	21
ENSG00000057663	38
ENSG00000057704	65
ENSG00000057757	129
ENSG00000057935	166
ENSG00000058056	50
ENSG00000058063	15
ENSG00000058085	1
ENSG00000058091	138
ENSG00000058262	361
ENSG00000058272	875
ENSG00000058335	66
ENSG00000058404	2011
ENSG00000058453	113
ENSG00000058600	0
ENSG00000058668	242
ENSG00000058673	1
ENSG00000058729	33
ENSG00000058799	39
ENSG00000058804	26
ENSG00000058866	86
ENSG00000059122	334
ENSG00000059145	99
ENSG00000059377	10
ENSG00000059378	45
ENSG00000059573	81
ENSG00000059588	205
ENSG00000059691	66
ENSG00000059728	87
ENSG00000059758	61
ENSG00000059769	38
ENSG00000059804	182
ENSG00000059915	2681
ENSG00000060069	41
ENSG00000060138	107
ENSG00000060140	2
ENSG00000060237	1596
ENSG00000060303	0
ENSG00000060339	868
ENSG00000060491	209
ENSG00000060558	13
ENSG00000060566	0
ENSG00000060642	32
ENSG00000060656	74
ENSG00000060688	17
ENSG00000060709	53
ENSG00000060718	49
ENSG00000060749	95
ENSG00000060762	180
ENSG00000060971	50
ENSG00000060982	52
ENSG00000061273	164
ENSG00000061337	259
ENSG00000061455	8
ENSG00000061492	1
ENSG00000061656	1
ENSG00000061676	359
ENSG00000061794	69
ENSG00000061918	53
ENSG00000061936	359
ENSG00000061938	1237
ENSG00000061987	92
ENSG00000062038	4
ENSG00000062096	16
ENSG00000062194	246
ENSG00000062282	6
ENSG00000062370	27
ENSG00000062485	240
ENSG00000062524	9
ENSG00000062582	3
ENSG00000062598	228
ENSG00000062650	163
ENSG00000062716	57
ENSG00000062725	115
ENSG00000062822	5
ENSG00000063015	80
ENSG00000063046	185
ENSG00000063127	12
ENSG00000063169	94
ENSG00000063176	156
ENSG00000063177	725
ENSG00000063180	2102
ENSG00000063241	110
ENSG00000063244	304
ENSG00000063245	863
ENSG00000063322	611
ENSG00000063438	7
ENSG00000063515	0
ENSG00000063587	126
ENSG00000063601	64
ENSG00000063660	677
ENSG00000063761	24
ENSG00000063854	203
ENSG00000063978	83
ENSG00000064012	35
ENSG00000064042	751
ENSG00000064102	23
ENSG00000064115	101
ENSG00000064195	1
ENSG00000064199	8
ENSG00000064201	2
ENSG00000064205	21
ENSG00000064218	0
ENSG00000064225	61
ENSG00000064270	15
ENSG00000064300	2
ENSG00000064309	10
ENSG00000064313	39
ENSG00000064393	4290
ENSG00000064419	175
ENSG00000064489	0
ENSG00000064490	34
ENSG00000064545	46
ENSG00000064547	17
ENSG00000064601	144
