gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_00891	2	7	5	15	27	25	8	7	10	11	1	2
CCNA_R0020	2	4	3	24	14	31	7	22	16	10	4	5
CCNA_00892	46	62	23	192	275	297	131	204	144	108	55	56
CCNA_00893	10	13	10	54	57	65	27	51	24	29	23	21
CCNA_00894	160	123	128	161	254	266	61	84	81	123	83	97
CCNA_00895	117	60	134	97	126	122	36	44	40	59	31	50
CCNA_00896	89	60	60	116	112	133	25	48	45	71	30	42
CCNA_00897	16	16	11	90	78	104	19	36	23	16	44	15
CCNA_00898	9	9	5	97	99	131	39	52	35	20	5	11
CCNA_00899	7	20	5	98	135	171	48	87	37	31	5	26
CCNA_00900	14	20	5	100	119	152	33	63	45	28	15	26
CCNA_00901	39	53	18	73	77	91	26	67	40	28	6	10
CCNA_00902	6	5	5	45	51	81	11	32	19	12	4	14
CCNA_00903	9	19	10	50	60	82	20	50	37	26	8	8
CCNA_00904	8	12	9	32	27	40	20	22	26	12	6	10
CCNA_00905	7	15	13	31	28	37	9	28	19	21	7	11
CCNA_00906	9	16	5	34	48	80	21	40	23	10	2	13
CCNA_00907	9	16	10	46	73	78	27	45	21	18	11	14
CCNA_00908	6	13	7	46	58	76	25	43	22	15	11	10
CCNA_00909	9	8	5	23	31	49	13	22	16	12	4	11
CCNA_00910	23	38	7	57	71	87	32	65	52	17	19	19
CCNA_00911	8	11	4	48	29	56	32	52	34	18	7	4
CCNA_00912	23	38	21	147	155	220	91	186	105	47	25	28
CCNA_00913	3	4	9	34	27	30	10	23	24	10	2	6
CCNA_00914	6	17	1	41	22	55	54	109	71	22	10	15
CCNA_00915	18	15	16	54	79	77	54	109	62	31	10	9
CCNA_00916	16	14	14	41	64	71	74	110	76	22	21	19
CCNA_00917	17	15	12	43	35	50	39	64	45	20	23	20
CCNA_00918	7	7	3	25	40	41	9	18	9	10	5	12
CCNA_00919	12	13	5	75	59	86	21	41	25	25	29	15
CCNA_00920	15	18	3	89	82	100	36	58	37	30	25	27
CCNA_00921	19	14	12	46	63	53	15	25	14	14	16	18
CCNA_00922	154	92	111	336	451	460	81	128	80	134	119	123
CCNA_00923	5	8	5	23	26	31	8	21	12	13	6	7
CCNA_00924	9	15	3	29	28	39	11	25	21	10	11	5
CCNA_00925	6	14	4	35	46	52	17	30	23	14	8	16
CCNA_00926	4	6	1	21	28	36	11	31	27	19	6	3
CCNA_00927	2	4	4	14	22	32	5	16	10	13	4	5
CCNA_00928	63	42	28	125	170	131	39	55	27	69	52	42
CCNA_00929	399	242	252	634	866	724	101	123	121	266	266	219
CCNA_00930	258	139	186	468	630	516	57	72	71	177	153	137
CCNA_00931	876	421	497	1093	1524	1167	146	205	175	453	430	348
CCNA_00932	338	208	174	395	581	469	72	110	100	200	171	174
CCNA_00933	58	70	45	124	140	154	46	93	65	46	33	44
CCNA_00934	10	10	6	26	52	50	11	18	21	15	4	7
CCNA_00935	4	14	4	32	38	35	7	21	15	12	7	8
CCNA_00936	3	16	4	20	25	46	17	29	9	12	4	11
CCNA_00937	6	5	5	14	14	17	2	9	2	11	6	4
CCNA_00938	21	12	11	45	40	65	21	40	25	26	12	6
CCNA_R0125	5	3	2	8	7	10	6	1	3	6	3	4
CCNA_00939	54	46	28	111	123	134	32	46	38	75	23	29
CCNA_00940	30	26	17	93	103	116	38	81	53	42	20	14
CCNA_00941	22	23	27	60	72	89	26	50	36	32	14	22
CCNA_00942	7	5	5	16	30	37	12	19	13	13	9	5
CCNA_00943	4	8	6	36	34	40	17	27	35	8	11	17
CCNA_03944	0	2	0	1	6	4	2	2	5	2	0	0
CCNA_00944	2	4	1	8	15	13	3	14	11	0	1	2
CCNA_00945	1	8	1	11	18	20	14	12	11	3	3	3
CCNA_00946	2	7	4	12	20	19	12	12	9	2	1	5
CCNA_00947	10	11	6	45	44	53	9	20	14	25	30	21
CCNA_00948	9	6	5	15	16	16	2	13	3	8	11	8
CCNA_00949	2	4	1	4	10	4	1	4	2	3	4	5
CCNA_00950	6	11	6	29	43	42	21	28	20	10	8	11
CCNA_00951	3	5	2	9	25	25	8	14	11	7	5	7
CCNA_00952	3	4	2	9	9	16	6	3	2	5	2	1
CCNA_00953	5	2	1	4	4	3	0	6	2	2	2	2
CCNA_00954	1	7	4	24	22	27	7	18	9	12	9	7
CCNA_00956	23	34	15	38	62	65	26	39	33	28	11	20
CCNA_00957	28	20	8	35	50	57	21	31	16	28	16	25
CCNA_00958	27	14	14	33	39	44	21	27	19	19	15	18
CCNA_00959	23	20	22	49	54	63	7	18	26	23	18	10
CCNA_00961	4	9	9	29	32	32	4	13	5	7	2	3
CCNA_00962	3	7	3	20	25	21	8	12	8	12	6	4
CCNA_00963	3	4	0	6	12	16	5	6	6	4	3	2
CCNA_00964	2	3	1	4	9	4	3	4	1	3	2	3
CCNA_00965	1	3	2	12	17	16	5	10	5	5	3	1
CCNA_00966	46	21	34	60	61	66	13	22	10	27	28	30
CCNA_00967	22	23	21	42	63	60	17	23	22	23	15	21
CCNA_00968	16	9	2	44	43	61	24	33	24	25	8	13
CCNA_00969	60	98	111	106	99	145	71	79	73	65	21	34
CCNA_00970	180	159	130	362	447	445	106	195	139	277	168	193
CCNA_00971	37	43	20	114	128	142	48	82	45	50	15	48
CCNA_00972	14	14	13	27	28	28	5	13	18	19	7	9
CCNA_00973	74	41	35	98	110	132	18	36	34	70	43	51
CCNA_00974	383	265	166	727	884	965	162	262	195	308	209	240
CCNA_00976	132	90	94	257	327	344	79	207	135	132	79	74
CCNA_R0021	3	0	0	1	2	1	0	1	0	3	2	4
CCNA_R0022	2	5	2	13	15	13	9	11	7	11	3	3
CCNA_00977	9	41	9	119	114	170	49	88	57	34	6	26
CCNA_00978	11	34	11	120	125	139	48	98	50	22	10	23
CCNA_00979	19	53	6	222	265	347	98	206	114	58	13	33
CCNA_00980	25	46	7	216	279	356	112	223	141	52	17	24
CCNA_00981	9	23	8	85	98	157	36	96	48	28	9	15
CCNA_00982	185	125	122	203	244	249	54	98	80	101	75	77
CCNA_00983	15	17	13	48	59	86	26	32	20	22	9	20
CCNA_00984	6	11	2	15	18	25	9	10	4	10	3	7
CCNA_00985	37	27	21	99	89	127	32	57	31	38	32	39
CCNA_00986	39	44	40	62	66	99	26	56	41	26	23	22
CCNA_00987	81	31	26	66	89	75	10	13	9	60	75	103
CCNA_00988	9	16	7	36	54	57	24	30	22	18	12	14
CCNA_00989	30	37	21	85	120	137	30	61	50	44	39	34
CCNA_00990	29	43	30	64	86	78	21	47	32	35	11	32
CCNA_00991	39	45	28	90	114	90	21	28	25	50	37	30
CCNA_00992	22	30	13	67	81	110	29	58	38	44	12	31
CCNA_00993	14	16	5	42	41	65	21	48	23	20	17	15
CCNA_00994	25	24	11	86	114	113	31	43	35	25	32	19
CCNA_00995	21	26	9	81	101	109	25	37	31	41	30	28
CCNA_00996	28	22	14	29	60	41	20	29	21	29	23	21
CCNA_00997	10	7	10	28	40	54	5	10	12	18	6	11
